season,match_date,home_team,away_team,home_goals,away_goals,home_ht_goals,away_ht_goals,shots_home,shots_away,shots_on_target_home,shots_on_target_away,corners_home,corners_away,fouls_home,fouls_away,yellow_home,yellow_away,red_home,red_away,result
2014-15,2014-11-29,Celta,Eibar,0,1,0,1,29,8,9,2,15,1,10,21,4,5,0,0,away_win
2014-15,2014-11-29,Espanol,Levante,2,1,2,1,10,16,4,3,5,6,21,10,2,3,0,0,home_win
2014-15,2014-11-29,Getafe,Ath Bilbao,1,2,0,1,14,8,7,3,2,4,12,15,7,5,0,0,away_win
2014-15,2014-11-29,Malaga,Real Madrid,1,2,0,1,12,21,7,9,5,6,17,11,2,2,0,1,away_win
2014-15,2014-11-30,Ath Madrid,La Coruna,2,0,1,0,9,3,4,1,5,3,16,18,2,2,0,0,home_win
2014-15,2014-11-30,Cordoba,Villarreal,0,2,0,1,11,10,2,7,9,8,7,13,2,2,0,0,away_win
2014-15,2014-11-30,Sevilla,Granada,5,1,1,1,13,9,8,4,7,4,18,20,1,2,0,0,home_win
2014-15,2014-11-30,Valencia,Barcelona,0,1,0,0,12,7,4,1,5,5,9,7,3,3,0,0,away_win
2014-15,2014-12-01,Almeria,Vallecano,0,1,0,0,11,11,1,4,5,6,14,12,4,4,0,0,away_win
2014-15,2014-12-06,Real Madrid,Celta,3,0,1,0,20,9,11,0,8,7,15,21,4,4,0,0,home_win
2014-15,2014-12-06,La Coruna,Malaga,0,1,0,1,14,8,6,3,5,5,14,15,4,3,0,0,away_win
2014-15,2014-12-06,Ath Bilbao,Cordoba,0,1,0,1,15,7,3,3,15,4,13,14,4,6,0,0,away_win
2014-15,2014-12-06,Elche,Ath Madrid,0,2,0,1,8,4,1,3,6,1,18,15,2,0,0,0,away_win
2014-15,2014-12-07,Barcelona,Espanol,5,1,1,1,15,3,7,2,5,2,6,11,0,4,0,0,home_win
2014-15,2014-12-07,Granada,Valencia,1,1,0,0,9,9,2,1,4,4,20,9,4,4,0,1,draw
2014-15,2014-12-07,Vallecano,Sevilla,0,1,0,1,11,11,3,6,6,2,14,19,4,6,0,1,away_win
2014-15,2014-12-07,Villarreal,Sociedad,4,0,0,0,24,12,9,2,8,2,14,8,2,2,0,0,home_win
2014-15,2014-12-08,Eibar,Almeria,5,2,3,1,17,14,8,3,7,3,18,12,4,3,0,0,home_win
2014-15,2014-12-08,Levante,Getafe,1,1,0,0,16,5,3,1,4,0,14,17,3,4,0,0,draw
2014-15,2014-12-12,Almeria,Real Madrid,1,4,1,2,16,15,3,8,2,8,14,8,4,4,0,0,away_win
2014-15,2014-12-13,Cordoba,Levante,0,0,0,0,13,12,4,3,7,6,6,19,0,3,0,0,draw
2014-15,2014-12-13,Getafe,Barcelona,0,0,0,0,4,23,2,2,4,5,24,8,2,0,0,0,draw
2014-15,2014-12-13,Malaga,Celta,1,0,1,0,12,14,4,8,1,9,15,13,5,4,0,0,home_win
2014-15,2014-12-13,Valencia,Vallecano,3,0,3,0,14,19,6,4,6,2,16,14,3,3,1,0,home_win
2014-15,2014-12-14,Sociedad,Ath Bilbao,1,1,1,0,14,12,4,5,3,6,12,21,0,3,0,1,draw
2014-15,2014-12-14,Sevilla,Eibar,0,0,0,0,16,6,2,2,11,2,11,17,3,6,0,0,draw
2014-15,2014-12-14,Espanol,Granada,2,1,1,0,12,7,4,6,2,3,13,19,2,4,0,1,home_win
2014-15,2014-12-14,Ath Madrid,Villarreal,0,1,0,0,11,7,2,4,7,2,15,16,4,3,0,0,away_win
2014-15,2014-12-15,La Coruna,Elche,1,0,1,0,15,10,3,4,7,5,19,19,5,2,0,0,home_win
2014-15,2014-12-19,Celta,Almeria,0,1,0,1,19,4,4,2,17,2,10,19,6,4,0,0,away_win
2014-15,2014-12-20,Barcelona,Cordoba,5,0,1,0,16,7,9,2,8,0,14,5,1,0,0,0,home_win
2014-15,2014-12-20,Eibar,Valencia,0,1,0,1,8,10,2,3,2,5,16,8,7,3,0,0,away_win
2014-15,2014-12-20,Levante,Sociedad,1,1,0,0,11,3,2,2,3,4,16,20,3,5,0,0,draw
2014-15,2014-12-20,Vallecano,Espanol,1,3,1,1,16,7,5,4,4,5,11,20,3,4,0,1,away_win
2014-15,2014-12-21,Ath Bilbao,Ath Madrid,1,4,1,0,4,5,2,4,3,1,12,14,3,4,0,0,away_win
2014-15,2014-12-21,Elche,Malaga,1,2,1,0,9,19,3,10,5,4,21,13,2,1,0,0,away_win
2014-15,2014-12-21,Granada,Getafe,1,1,1,0,13,12,3,4,3,5,19,8,4,2,0,0,draw
2014-15,2014-12-21,Villarreal,La Coruna,3,0,1,0,15,10,9,2,5,2,16,15,1,3,1,0,home_win
2014-15,2015-01-03,Sevilla,Celta,1,0,1,0,10,16,4,2,1,8,28,17,4,5,0,1,home_win
2014-15,2015-01-03,Malaga,Almeria,1,2,0,1,14,6,6,4,7,1,19,17,5,4,0,1,away_win
2014-15,2015-01-03,La Coruna,Ath Bilbao,1,0,1,0,8,12,4,4,5,2,20,16,1,1,0,0,home_win
2014-15,2015-01-03,Elche,Villarreal,2,2,2,2,18,18,8,5,6,9,15,13,4,2,0,0,draw
2014-15,2015-01-03,Ath Madrid,Levante,3,1,1,0,13,10,5,4,7,6,6,10,2,3,0,0,home_win
2014-15,2015-01-04,Espanol,Eibar,1,2,0,2,15,12,6,6,6,3,9,15,1,1,0,0,away_win
2014-15,2015-01-04,Getafe,Vallecano,1,2,1,1,12,16,4,7,6,4,23,12,3,2,0,0,away_win
2014-15,2015-01-04,Sociedad,Barcelona,1,0,1,0,6,17,1,4,6,8,21,14,5,4,0,0,home_win
2014-15,2015-01-04,Valencia,Real Madrid,2,1,0,1,11,19,3,8,3,11,24,17,6,3,0,0,home_win
2014-15,2015-01-05,Cordoba,Granada,2,0,2,0,5,12,3,1,0,4,22,17,2,0,0,0,home_win
2014-15,2015-01-09,Levante,La Coruna,0,0,0,0,9,13,0,6,4,3,22,17,4,3,0,0,draw
2014-15,2015-01-10,Celta,Valencia,1,1,0,1,14,4,4,2,11,2,20,19,3,3,0,0,draw
2014-15,2015-01-10,Eibar,Getafe,2,1,1,0,12,7,5,3,2,3,19,12,2,1,0,0,home_win
2014-15,2015-01-10,Malaga,Villarreal,1,1,0,1,13,9,6,4,5,3,6,15,4,4,0,0,draw
2014-15,2015-01-10,Real Madrid,Espanol,3,0,2,0,18,11,5,4,7,2,11,14,1,4,1,0,home_win
2014-15,2015-01-11,Granada,Sociedad,1,1,0,1,20,10,3,5,11,4,9,15,2,2,0,0,draw
2014-15,2015-01-11,Barcelona,Ath Madrid,3,1,2,0,17,5,7,3,1,3,16,18,3,6,0,0,home_win
2014-15,2015-01-11,Almeria,Sevilla,0,2,0,0,19,12,6,6,5,5,16,12,1,2,0,0,away_win
2014-15,2015-01-11,Ath Bilbao,Elche,1,2,0,1,13,8,3,5,10,2,7,15,2,6,0,0,away_win
2014-15,2015-01-12,Vallecano,Cordoba,0,1,0,1,21,9,4,3,6,2,10,9,3,2,0,0,away_win
2014-15,2015-01-16,Cordoba,Eibar,1,1,1,0,14,6,5,1,2,3,18,12,4,3,1,1,draw
2014-15,2015-01-17,Espanol,Celta,1,0,0,0,15,3,3,2,9,1,9,23,3,3,0,0,home_win
2014-15,2015-01-17,Sociedad,Vallecano,0,1,0,0,10,12,2,4,8,4,12,20,0,4,0,0,away_win
