home_form_last8,away_form_last8,home_goal_avg,away_goal_avg,home_conceded_avg,away_conceded_avg,home_xg_proxy,away_xg_proxy,home_shots_avg,away_shots_avg,home_sot_avg,away_sot_avg,home_corners_avg,away_corners_avg,home_cards_avg,away_cards_avg,head_to_head_score,home_league_position,away_league_position,home_home_win_rate,away_away_win_rate,home_advantage,home_strength_score,away_strength_score,goal_diff_ratio,position_diff,form_diff,xg_diff,result
0.3333,0.7767,0.6667,0.6667,1.6667,2.3333,0.2258,0.3056,10.3333,11.6667,2.3333,3.3333,3.6667,5.6667,3.3333,2.3333,0.5,16,6,1.0,0.0,-0.3633,0.6136,0.8588,0.0,-0.5,-0.4433,-0.0798,away_win
0.4975,0.3325,2.0,3.0,1.5,1.5,0.4894,0.3429,11.75,13.75,5.75,5.0,4.5,4.0,3.0,2.0,0.5,9,12,0.5,0.5,0.245,1.2982,1.3237,-0.2,0.15,0.165,0.1465,home_win
0.5,0.3325,3.25,2.0,2.0,1.0,0.411,0.3111,18.25,9.75,7.5,4.5,5.25,5.0,2.0,1.75,0.5,9,14,0.5,0.5,0.2475,1.6664,1.1496,0.2381,0.25,0.1675,0.0999,home_win
0.5,0.5825,1.0,0.75,0.75,1.5,0.3095,0.3333,10.5,12.0,3.25,4.0,5.25,6.75,1.25,2.0,0.5,9,8,0.5,0.5,-0.0025,0.9593,0.916,0.1429,-0.05,-0.0825,-0.0238,draw
0.665,0.0825,1.0,2.5,0.5,0.0,0.4444,0.1579,6.75,14.25,3.0,6.5,5.75,8.0,3.0,1.75,0.5,6,20,0.5,0.0,0.6625,1.1039,3.1649,-0.4286,0.7,0.5825,0.2865,away_win
0.415,0.665,1.0,1.0,1.0,1.5,0.3091,0.3529,13.75,10.5,4.25,3.25,7.25,3.5,3.75,2.25,0.5,11,8,0.0,0.5,-0.17,0.979,0.9112,0.0,-0.15,-0.25,-0.0438,away_win
0.8325,0.3325,2.0,1.75,0.75,1.75,0.42,0.2703,12.5,14.25,5.25,5.25,5.5,5.75,2.5,3.25,0.5,3,14,0.5,0.0,0.58,1.4907,1.108,0.0667,0.55,0.5,0.1497,home_win
0.165,0.25,1.5,1.0,2.25,0.75,0.25,0.4474,11.0,10.0,2.75,3.75,4.25,6.5,3.0,3.0,0.5,18,16,0.0,0.0,-0.005,0.7172,0.9291,0.2,-0.1,-0.085,-0.1974,home_win
0.415,1.0,0.75,0.0,1.25,2.75,0.3036,0.4688,14.0,6.0,4.25,1.0,8.25,2.0,2.25,0.75,0.5,11,2,0.5,1.0,-0.505,0.9012,0.608,1.0,-0.45,-0.585,-0.1652,draw
0.165,0.25,1.25,2.0,2.0,0.5,0.4054,0.2791,9.25,12.5,3.75,4.75,6.25,4.0,2.25,2.25,0.5,20,18,0.0,0.0,-0.005,0.7989,1.2947,-0.2308,-0.1,-0.085,0.1263,home_win
